"Title","Default language","Default text","pt text","Variant status","Placeholder"
"7.1::Latest Release Card Description","English","Download and install the latest release of Liferay DXP 7.1.","Baixe e instale a versão mais recente do Liferay DXP 7.1.","Active","dc.7_1-latest_release_card_description"
"7.1::Liferay Connected Services Card","English","Liferay Connected Services","Liferay Connected Services","Active","dc.7_1-liferay_connected_services_card"
"7.1::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay DXP infrastructure. ","Uma solução de gerenciamento na nuvem para manter a infraestrutura de um Liferay DXP.","Active","dc.7_1-liferay_connected_services_card_description"
"7.1::Liferay Enterprise Search Card","English","Enterprise Search","Enterprise Search","Active","dc.7_1-liferay_enterprise_search_card"
"7.1::Liferay Enterprise Search Card Description","English","An add-on subscription for managing enterprise-scale search in your Liferay DXP projects. ","Uma subscrição complementar para gerenciar a busca/indexação em larga escala em seus projetos do Liferay DXP.","Active","dc.7_1-liferay_enterprise_search_card_description"
"7.1::Liferay Sync Card","English","Liferay Sync","Liferay Sync","Active","dc.7_1-liferay_sync_card"
"7.1::Liferay Sync Card Description","English","An enterprise file syncing and sharing service from desktop and mobile devices.","Um serviço de sincronização e compartilhamento de arquivos em larga escala a partir de dispositivos móveis e de desktop.","Active","dc.7_1-liferay_sync_card_description"
"7.1::Mobile Experience Platform Card","English","Mobile Experience Platform","Mobile Experience Platform","Active","dc.7_1-mobile_experience_platform_card"
"7.1::Mobile Experience Platform Card Description","English","Deliver responsive, native or hybrid mobile experiences with one development platform.","Entregue experiências mobile responsivas, nativas ou híbridas com uma plataforma de desenvolvimento.","Active","dc.7_1-mobile_experience_platform_card_description"
"7.1::Page Heading","English","Liferay Digital Experience Platform 7.1","Liferay Digital Experience Platform 7.1","Active","dc.7_1-page_heading"
"7.1::Patching Tool Card","English","Patching Tool","Patching Tool","Active","dc.7_1-patching_tool_card"
"7.1::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.1 software updates.","Faça o download do patching tool para instalar as atualizações do Liferay DXP 7.1.","Active","dc.7_1-patching_tool_card_description"
"7.1::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay DXP.","Saiba mais sobre vulnerabilidades de segurança conhecidas e correções para o Liferay DXP.","Active","dc.7_1-security_advisories_card_description"
"7.1::Service Levels Card Description","English","Learn more about the benefits included with each enterprise subscription level.","Saiba mais sobre os benefícios incluídos em cada nível de assinatura enterprise.","Active","dc.7_1-service_levels_card_description"
"7.1::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.1.","Consulte a política sobre o fim do ciclo de vida do Liferay DXP 7.1.","Active","dc.7_1-service_life_card_description"
"7.1::Service Packs Archive Card","English","Service Packs Archive","Arquivo de Service Packs","Active","dc.7_1-service_packs_archive_card"
"7.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.1.","Acesse os Service Packs anteriores do Liferay DXP 7.1.","Active","dc.7_1-service_packs_archive_card_description"
"7.1::Support Coverage Card Description","English","Reference support coverage details for all Liferay products.","Consulte os detalhes da cobertura do Suporte Liferay para todos os produtos Liferay.","Active","dc.7_1-support_coverage_card_description"
"7.1::Support FAQs Card Description","English","Browse through answers to common support-related questions.","Navegue pelas respostas a perguntas comuns relacionadas ao Suporte.","Active","dc.7_1-support_faqs_card_description"
"7.1::Support Information Tab","English","Support Information","Informações do Suporte","Active","dc.7_1-support_information_tab"
"7.1::Top Resources Tab","English","Top Resources","Principais Recursos","Active","dc.7_1-top_resources_tab"
"7.1::Upgrading Card","English","Upgrading","Upgrading","Active","dc.7_1-upgrading_card"
"7.1::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.1.","Consulte uma coleção de recursos para ajudá-lo a realizar o upgrade para o Liferay DXP 7.1.","Active","dc.7_1-upgrading_card_description"
"7.1::Whitepapers Card","English","Whitepapers","Whitepapers","Active","dc.7_1-whitepapers_card"
"7.1::Whitepapers Card Description","English","Reference technical briefs on topics including deployment, upgrading, and performance. ","Consulte resumos técnicos em tópicos, incluindo implantação, atualização e performance.","Active","dc.7_1-whitepapers_card_description"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","Administrando o Liferay Analytics Cloud","Active","dc.administering_liferay_analytics_cloud"
"Admin Guide","English","Admin Guide","Guia de Administração","Active","dc.admin_guide"
"All Rights Reserved","English","All Rights Reserved","","","dc.all_rights_reserved"
"Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.analytics_cloud"
"Analytics Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay Analytics Cloud.","Aprenda a usar todos os recursos do Liferay Analytics Cloud.","Active","dc.analytics_cloud-admin_guide_card_description"
"Analytics Cloud::Feature Requests Card","English","Feature Requests","Solicitações de Novas Funcionalidades","Active","dc.analytics_cloud-feature_requests_card"
"Analytics Cloud::Feature Requests Card Description","English","Reference a list of feature requests and their current status.","Consulte uma lista de solicitações de novas funcionalidades e seu status atual.","Active","dc.analytics_cloud-feature_requests_card_description"
"Analytics Cloud::Getting Started Card","English","Getting Started","Introdução","Active","dc.analytics_cloud-getting_started_card"
"Analytics Cloud::Getting Started Card Description","English","Learn how to start adding and managing your data sources for Liferay Analytics Cloud.","Saiba como adicionar e gerenciar suas fontes de dados no Liferay Analytics Cloud.","Active","dc.analytics_cloud-getting_started_card_description"
"Analytics Cloud::Known Issues Card","English","Known Issues","Questões Conhecidas","Active","dc.analytics_cloud-known_issues_card"
"Analytics Cloud::Known Issues Card Description","English","Reference existing known issues that have been documented for Liferay Analytics Cloud.","Consulte as questões conhecidas que foram documentadas para o Liferay Analytics Cloud.","Active","dc.analytics_cloud-known_issues_card_description"
"Analytics Cloud::Page Heading","English","Liferay Analytics Cloud","Liferay Analytics Cloud","Active","dc.analytics_cloud-page_heading"
"Analytics Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay Analytics Cloud.","Saiba mais sobre a cobertura do Suporte Liferay para o Liferay Analytics Cloud.","Active","dc.analytics_cloud-support_coverage_card_description"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","Documentação do Analytics Cloud","Active","dc.analytics_cloud_documentation"
"Avatar","English","Avatar","Avatar","Active","dc.avatar"
"Browse by Product","English","Browse by Product","Navegue por produto","Active","dc.browse_by_product"
"Category::Product Support","English","Product Support","Suporte do Produto","Active","dc.category-product_support"
"Commerce","English","Commerce","Commerce","Active","dc.commerce"
"Commerce::Admin Guide Card Description","English","Learn how to use all the features in Liferay Commerce.","Aprenda a usar todos os recursos do Liferay Commerce.","Active","dc.commerce-admin_guide_card_description"
"Commerce::Compatibility Matrix Card Description","English","Learn about supported configurations for Liferay Commerce.","Conheça as configurações suportadas para o Liferay Commerce.","Active","dc.commerce-compatibility_matrix_card_description"
"Commerce::Developer Guide Card","English","Developer Guide","","","dc.commerce-developer_guide_card"
"Commerce::Developer Guide Card Description","English","Learn about customizing Liferay Commerce through extension points.","","","dc.commerce-developer_guide_card_description"
"Commerce::Latest Release Card Description","English","Download and install the latest version of Liferay Commerce. ","Baixe e instale a versão mais recente do Liferay Commerce.","Active","dc.commerce-latest_release_card_description"
"Commerce::Page Heading","English","Liferay Commerce","Liferay Commerce","Active","dc.commerce-page_heading"
"Commerce::Service Life Description","English","Reference the end of life policy for Liferay Commerce.","Consulte a política sobre o fim do ciclo de vida do Liferay Commerce.","Active","dc.commerce-service_life_description"
"Commerce::Support Coverage Card Description","English","Learn more about support coverage for Liferay Commerce.","Saiba mais sobre a cobertura do Suporte Liferay para o Liferay Commerce.","Active","dc.commerce-support_coverage_card_description"
"Component::Activation Key & Project Administration","English","Activation Key & Project Administration","Chave de Ativação e Administração de Projetos","Active","dc.component-activation_key_project_administration"
"Component::APIO Architect","English","APIO Architect","Arquitetura APIO","Active","dc.component-apio_architect"
"Component::APIs","English","APIs","APIs","Active","dc.component-apis"
"Component::APIs, Integrations and Extension Points","English","APIs, Integrations and Extension Points","APIs, Integrações e Extensões","Active","dc.component-apis_integrations_and_extension_points"
"Component::Application Display Templates","English","Application Display Templates","Application Display Templates","Active","dc.component-application_display_templates"
"Component::Audience Targeting","English","Audience Targeting","Audience Targeting","Active","dc.component-audience_targeting"
"Component::Authentication","English","Authentication","Autenticação","Active","dc.component-authentication"
"Component::Backup / Recovery","English","Backup / Recovery","Backup / Recuperação","Active","dc.component-backup_recovery"
"Component::Caching & Clustering","English","Caching & Clustering","Caching e Clustering","Active","dc.component-caching_clustering"
"Component::Calendar","English","Calendar","Calendar","Active","dc.component-calendar"
"Component::Collaboration Suite","English","Collaboration Suite","Suíte de Colaboração","Active","dc.component-collaboration_suite"
"Component::Commerce Insights","English","Commerce Insights","Commerce Insights","Active","dc.component-commerce_insights"
"Component::Configuration and Settings","English","Configuration and Settings","Configurações","Active","dc.component-configuration_and_settings"
"Component::Connectivity","English","Connectivity","Conectividade","Active","dc.component-connectivity"
"Component::Connectors","English","Connectors","Conectores","Active","dc.component-connectors"
"Component::Connector to Salesforce","English","Connector to Salesforce","Connector to Salesforce","Active","dc.component-connector_to_salesforce"
"Component::Deployment, Environments","English","Deployment, Environments","Implantação, Ambientes","Active","dc.component-deployment_environments"
"Component::Developer Tools","English","Developer Tools","Developer Tools","Active","dc.component-developer_tools"
"Component::Digital Merchandise Management","English","Digital Merchandise Management","Gestão de Merchandise Digital","Active","dc.component-digital_merchandise_management"
"Component::Digital Store Management","English","Digital Store Management","Gestão de Loja Digital","Active","dc.component-digital_store_management"
"Component::Document Management","English","Document Management","Gestão de Documento","Active","dc.component-document_management"
"Component::Dynamic Data Mapping & Data Lists","English","Dynamic Data Mapping & Data Lists","Dynamic Data Mapping & Data Lists","Active","dc.component-dynamic_data_mapping_data_lists"
"Component::Forms","English","Forms","Forms","Active","dc.component-forms"
"Component::Liferay API","English","Liferay API","Liferay API","Active","dc.component-liferay_api"
"Component::Liferay Sync","English","Liferay Sync","Liferay Sync","Active","dc.component-liferay_sync"
"Component::Localization","English","Localization","Localização","Active","dc.component-localization"
"Component::Networking","English","Networking","Networking","Active","dc.component-networking"
"Component::Patch Management","English","Patch Management","Gerenciamento de Patches","Active","dc.component-patch_management"
"Component::Performance","English","Performance","Performance","Active","dc.component-performance"
"Component::Portal Configuration","English","Portal Configuration","Configuração do Portal","Active","dc.component-portal_configuration"
"Component::Recycle Bin","English","Recycle Bin","Lixeira de Reciclagem","Active","dc.component-recycle_bin"
"Component::Reporting","English","Reporting","Relatório","Active","dc.component-reporting"
"Component::Search Engine Optimization, Analytics","English","Search Engine Optimization, Analytics","Search Engine Optimization, Analytics","Active","dc.component-search_engine_optimization_analytics"
"Component::Search & Indexing","English","Search & Indexing","Busca e Indexação","Active","dc.component-search_indexing"
"Component::Security","English","Security","Segurança","Active","dc.component-security"
"Component::Shopping Experience","English","Shopping Experience","Experiência de Compra","Active","dc.component-shopping_experience"
"Component::Site Management","English","Site Management","Gestão de Site","Active","dc.component-site_management"
"Component::Social Networking","English","Social Networking","Rede Social","Active","dc.component-social_networking"
"Component::Social Office","English","Social Office","Social Office","Active","dc.component-social_office"
"Component::Staging, Export/Import","English","Staging, Export/Import","Staging, Exportação / Importação","Active","dc.component-staging_export_import"
"Component::System Availability","English","System Availability","Disponibilidade do Sistema","Active","dc.component-system_availability"
"Component::UI","English","UI","Entre em contato","Active","dc.component-ui"
"Component::UI Infrastructure, Accessibility","English","UI Infrastructure, Accessibility","Infraestrutura de Interface do Usuário, Acessibilidade","Active","dc.component-ui_infrastructure_accessibility"
"Component::Upgrade","English","Upgrade","Upgrade","Active","dc.component-upgrade"
"Component::User, Membership, Role Management","English","User, Membership, Role Management","Usuário, Associação, Gerenciamento de Papéis","Active","dc.component-user_membership_role_management"
"Component::VPN","English","VPN","VPN","Active","dc.component-vpn"
"Component::Web Content","English","Web Content","Conteúdo Web","Active","dc.component-web_content"
"Component::Workflow, Workflow Forms","English","Workflow, Workflow Forms","Workflow, Workflow Forms","Active","dc.component-workflow_workflow_forms"
"Component:UI","English","UI","","","dc.component_ui"
"Contact Us","English","Contact Us","Entre em contato","Active","dc.contact_us"
"Development Guide","English","Development Guide","Guia para desenvolvimento","Active","dc.development_guide"
"Documentation::Liferay Analytics Cloud","English","Liferay Analytics Cloud","Liferay Analytics Cloud","Active","dc.documentation-liferay_analytics_cloud"
"Documentation::Liferay Commerce","English","Liferay Commerce","Liferay Commerce","Active","dc.documentation-liferay_commerce"
"Documentation::Liferay DXP 7.0","English","Liferay DXP 7.0","Liferay DXP 7.0","Active","dc.documentation-liferay_dxp_7_0"
"Documentation::Liferay DXP 7.1","English","Liferay DXP 7.1","Liferay DXP 7.1","Active","dc.documentation-liferay_dxp_7_1"
"Documentation::Liferay DXP Cloud","English","Liferay DXP Cloud","Liferay DXP Cloud","Active","dc.documentation-liferay_dxp_cloud"
"Documentation::Liferay DXP Components","English","Liferay DXP Components","Componentes do Liferay DXP","Active","dc.documentation-liferay_dxp_components"
"Documentation::Liferay Portal 5.2","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.documentation-liferay_portal_5_2"
"Documentation::Liferay Portal 6.0","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.documentation-liferay_portal_6_0"
"Documentation::Liferay Portal 6.1","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.documentation-liferay_portal_6_1"
"Documentation::Liferay Portal 6.2","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.documentation-liferay_portal_6_2"
"DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.dxp_cloud"
"DXP Cloud::Admin Guide Card Description","English","Learn how to use all the features in Liferay DXP Cloud.","Aprenda a usar todos os recursos do Liferay DXP Cloud.","Active","dc.dxp_cloud-admin_guide_card_description"
"DXP Cloud::Announcements Card Description","English","See product updates, announcements, and releases notes from Liferay DXP Cloud.","","","dc.dxp_cloud-announcements_card_description"
"DXP Cloud::Application Management","English","Application Management","Gerenciamento da aplicação","Active","dc.dxp_cloud-application_management"
"DXP Cloud::Collaboration","English","Collaboration","Colaboração","Active","dc.dxp_cloud-collaboration"
"DXP Cloud::Development Lifecycle","English","Development Lifecycle","Ciclo de desenvolvimento","Active","dc.dxp_cloud-development_lifecycle"
"DXP Cloud::Documentation Card Description","English","Learn how to start using and deploying your services on Liferay DXP Cloud.","","","dc.dxp_cloud-documentation_card_description"
"DXP Cloud::Monitoring","English","Monitoring","Monitoramento","Active","dc.dxp_cloud-monitoring"
"DXP Cloud::Page Heading","English","Liferay DXP Cloud ","Liferay DXP Cloud","Active","dc.dxp_cloud-page_heading"
"DXP Cloud::Reference","English","Reference","Referência","Active","dc.dxp_cloud-reference"
"DXP Cloud::Security","English","Security","Segurança","Active","dc.dxp_cloud-security"
"DXP Cloud::Services","English","Services","Serviços","Active","dc.dxp_cloud-services"
"DXP Cloud::Support Coverage Card Description","English","Learn more about support coverage for Liferay DXP Cloud.","Saiba mais sobre a cobertura do Suporte Liferay para o Liferay DXP Cloud.","Active","dc.dxp_cloud-support_coverage_card_description"
"DXP Cloud:: Knowledge Base Card Description","English","The most frequently asked questions and answers about Liferay DXP Cloud.","As perguntas e respostas mais freqüentes sobre o Liferay DXP Cloud.","Active","dc.dxp_cloud-_knowledge_base_card_description"
"Environment::Non-Production","English","Non-Production","Não produção","Active","dc.environment-non-production"
"Environment::Not Available","English","Not Available","Não disponível","Active","dc.environment-not_available"
"Environment::Production","English","Production","Produção","Active","dc.environment-production"
"Footer::Account Support","English","Account Support","Suporte da conta","Active","dc.footer-account_support"
"Footer::All Rights Reserved","English","All Rights Reserved","Todos os direitos reservados","Active","dc.footer-all_rights_reserved"
"Footer::Contact Us","English","Contact Us","Entre em contato","Active","dc.footer-contact_us"
"Footer::LESA","English","LESA","LESA","Active","dc.footer-lesa"
"Footer::Liferay.com","English","Liferay.com","Liferay.com","Active","dc.footer-liferay_com"
"Footer::Marketplace","English","Marketplace","Marketplace","Active","dc.footer-marketplace"
"Footer::Related Sites","English","Related Sites","Sites Relacionados","Active","dc.footer-related_sites"
"Footer::Subscription","English","Subscription","Subscrição","Active","dc.footer-subscription"
"Footer_All Rights Reserved","English","All Rights Reserved","","","dc.footer_all_rights_reserved"
"Getting Started","English","Getting Started","Introdução","Active","dc.getting_started"
"Help","English","Help","","","dc.help"
"Help Center","English","Help Center","Help Center","Active","dc.help_center"
"Homepage::Announcement Subscribe Button","English","Subscribe","Inscreva-se","Active","dc.homepage-announcement_subscribe_button"
"Homepage::Announcement Subscribe Description","English","Get the latest updates on products, patches, and system improvements.","Receba as atualizações mais recentes sobre produtos, patches e melhorias no sistema.","Active","dc.homepage-announcement_subscribe_description"
"Homepage::Announcement Subscribe Heading","English","Receive Notifications","Receba Notificações","Active","dc.homepage-announcement_subscribe_heading"
"Homepage::Ask the Community","English","Ask the Community","Pergunte à Comunidade","Active","dc.homepage-ask_the_community"
"Homepage::Ask the Community Asterisk Description","English","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","*Tenha em mente que as informações disponíveis no site do Liferay Community não são suportadas, devendo ser implementadas a seu próprio critério.","Active","dc.homepage-ask_the_community_asterisk_description"
"Homepage::Ask the Community Description","English","Learn and share knowledge with community members.","Aprenda e compartilhe o seu conhecimento com outros membros da comunidade.","Active","dc.homepage-ask_the_community_description"
"Homepage::Browse by Product","English","Browse by Product","Navegue por produto","Active","dc.homepage-browse_by_product"
"Homepage::Contact Us Asterisk Description","English","*24/7 phone support is available for Platinum Level Critical issues only.","*O suporte 24/7 por telefone está disponível apenas para problemas críticos no nível Platinum.","Active","dc.homepage-contact_us_asterisk_description"
"Homepage::Contact Us Description","English","Speak with a Liferay Support team member by phone.","Fale diretamente por telefone com um membro do Suporte Liferay.","Active","dc.homepage-contact_us_description"
"Homepage::Events","English","Events","Eventos","Active","dc.homepage-events"
"Homepage::Fix Pack Updates","English","Fix Pack Updates","Atualizações do Fix Pack","Active","dc.homepage-fix_pack_updates"
"Homepage::Get Started","English","Get Started on Liferay's Help Center","Comece a utilizar o Liferay Help Center","Active","dc.homepage-get_started"
"Homepage::How can we help?","English","How can we help?","Como podemos ajudar?","Active","dc.homepage-how_can_we_help"
"Homepage::Learn More","English","Learn More","Saiba Mais","Active","dc.homepage-learn_more"
"Homepage::Liferay Global Services","English","Liferay Global Services","Liferay Global Services","Active","dc.homepage-liferay_global_services"
"Homepage::Liferay Global Services Description","English","Gain extensive product and development knowledge from experts to maximize your ROI.","Obtenha um amplo conhecimento sobre produtos e desenvolvimento através de especialistas para maximizar seu ROI.","Active","dc.homepage-liferay_global_services_description"
"Homepage::Liferay University","English","Liferay University","Liferay University","Active","dc.homepage-liferay_university"
"Homepage::Liferay University Description","English","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","Treine sua equipe para o uso do Liferay com vídeos detalhados e exercícios práticos projetados para imitar o treinamento pessoal.","Active","dc.homepage-liferay_university_description"
"Homepage::Portal 5.2","English","Portal 5.2","Portal 5.2","Active","dc.homepage-portal_5_2"
"Homepage::Product Releases","English","Product Releases","Lançamentos de Produtos","Active","dc.homepage-product_releases"
"Homepage::Search the Help Center","English","Search the Help Center","Busque no Help Center","Active","dc.homepage-search_the_help_center"
"Homepage::Security Updates","English","Security Updates","Atualizações de Segurança","Active","dc.homepage-security_updates"
"Homepage::See More","English","See More","Ver mais","Active","dc.homepage-see_more"
"Homepage::Still Need Help?","English","Still Need Help?","Ainda precisa de ajuda?","Active","dc.homepage-still_need_help"
